project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	spectrophotometer_method	state	well_number
TCGA-PRAD	1f4ff2c7-3fbb-46a1-99cf-68d2c33c5175	TCGA-EJ-7789	e810030e-f9b4-4ac2-ba2c-9bd23061841c	TCGA-EJ-7789-10A	291b52e7-f1a0-4e1d-93fa-1036a63e3f1a	TCGA-EJ-7789-10A-01	689d606f-1796-4c62-a8b1-94536d01ad45	TCGA-EJ-7789-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	PicoGreen	released	'--
TCGA-PRAD	1f4ff2c7-3fbb-46a1-99cf-68d2c33c5175	TCGA-EJ-7789	e810030e-f9b4-4ac2-ba2c-9bd23061841c	TCGA-EJ-7789-10A	291b52e7-f1a0-4e1d-93fa-1036a63e3f1a	TCGA-EJ-7789-10A-01	4fb4c4ad-587f-4831-9478-516a270086c3	TCGA-EJ-7789-10A-01D	'--	'--	'--	DNA	D	'--	0.15	'--	'--	PicoGreen	released	'--
TCGA-PRAD	1f4ff2c7-3fbb-46a1-99cf-68d2c33c5175	TCGA-EJ-7789	e041f72c-2a5b-4fa9-88c7-4c691e74bd68	TCGA-EJ-7789-11A	e55950dc-9b27-4268-ac34-db2ceb404352	TCGA-EJ-7789-11A-01	e4703bac-9f63-4762-98ad-1c4474dca6e1	TCGA-EJ-7789-11A-01D	'--	'--	'--	DNA	D	'--	0.14	'--	'--	PicoGreen	released	'--
TCGA-PRAD	1f4ff2c7-3fbb-46a1-99cf-68d2c33c5175	TCGA-EJ-7789	e041f72c-2a5b-4fa9-88c7-4c691e74bd68	TCGA-EJ-7789-11A	e55950dc-9b27-4268-ac34-db2ceb404352	TCGA-EJ-7789-11A-01	ba9b8c46-c49c-4d3a-9367-6a344d2125e9	TCGA-EJ-7789-11A-01R	'--	'--	'--	RNA	R	'--	0.16	'--	'--	UV Spec	released	'--
TCGA-PRAD	1f4ff2c7-3fbb-46a1-99cf-68d2c33c5175	TCGA-EJ-7789	e041f72c-2a5b-4fa9-88c7-4c691e74bd68	TCGA-EJ-7789-11A	e55950dc-9b27-4268-ac34-db2ceb404352	TCGA-EJ-7789-11A-01	c5d51f87-d4f6-4aba-b09e-328645b3403c	TCGA-EJ-7789-11A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	PicoGreen	released	'--
TCGA-PRAD	1f4ff2c7-3fbb-46a1-99cf-68d2c33c5175	TCGA-EJ-7789	a2513d5c-4834-4ee1-9f0c-6c0494aae48a	TCGA-EJ-7789-01A	d4642a3e-45dc-4822-b2f5-74ab626e3cdf	TCGA-EJ-7789-01A-11	b2404f12-790d-4901-a9a5-fa8331719380	TCGA-EJ-7789-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	PicoGreen	released	'--
TCGA-PRAD	1f4ff2c7-3fbb-46a1-99cf-68d2c33c5175	TCGA-EJ-7789	a2513d5c-4834-4ee1-9f0c-6c0494aae48a	TCGA-EJ-7789-01A	d4642a3e-45dc-4822-b2f5-74ab626e3cdf	TCGA-EJ-7789-01A-11	05f93e28-0ce8-4542-b4ec-cbe571c47700	TCGA-EJ-7789-01A-11D	'--	'--	'--	DNA	D	'--	0.14	'--	'--	PicoGreen	released	'--
TCGA-PRAD	1f4ff2c7-3fbb-46a1-99cf-68d2c33c5175	TCGA-EJ-7789	a2513d5c-4834-4ee1-9f0c-6c0494aae48a	TCGA-EJ-7789-01A	d4642a3e-45dc-4822-b2f5-74ab626e3cdf	TCGA-EJ-7789-01A-11	a6d36dc8-2b9f-47e1-8fb3-e5662b96cf6c	TCGA-EJ-7789-01A-11R	'--	'--	'--	RNA	R	'--	0.16	'--	'--	UV Spec	released	'--
TCGA-PRAD	88705b03-aa27-45c5-bef0-bb697799f9df	TCGA-KK-A8IB	2cc1817c-7ee6-4a0d-abd4-dc8712f88cf1	TCGA-KK-A8IB-01A	abd662a9-b098-4988-b3c0-c0c8734f2f9d	TCGA-KK-A8IB-01A-11	4c0522e3-b659-4385-bc96-0021a5243e8c	TCGA-KK-A8IB-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	'--	'--	released	'--
TCGA-PRAD	88705b03-aa27-45c5-bef0-bb697799f9df	TCGA-KK-A8IB	2cc1817c-7ee6-4a0d-abd4-dc8712f88cf1	TCGA-KK-A8IB-01A	abd662a9-b098-4988-b3c0-c0c8734f2f9d	TCGA-KK-A8IB-01A-11	f71fbf27-a10b-4972-98e5-6caf400845ec	TCGA-KK-A8IB-01A-11D	'--	'--	'--	DNA	D	'--	0.16	'--	'--	PicoGreen	released	'--
